Station,SAMPLE,Date,Start Time,End Time,UTC Time,Log,LatDeg,LatMin,LatNS,LonDeg ,LogMin,LonEW,Temp (oC),Fluoro (chl-a),Sal (psu),Max Tension (m) ,Max Wire out (m),Cast Depth (m),Volt. 0 sensor/SN,Volt. 1 sensor/SN,Volt.2 sensor/SN,Volt. 3 sensor/SN,Volt. 4 sensor/SN,Volt. 5 sensor/SN,CTD unit #,CTD Volt in,CTD Volt out,AFM Volt in,AFM Volt out,Bottom Depth (m),Updated Location,OceanType,GeneralLocale,Bottle,Z Target (m),Z Corr (m),Temp (deg C),Salinity (psu),Density (kg/m3),O2 Seapoint (mL/L),Chla-Fluoro (V),LatDisplay,LonDisplay,LatDEC,LonDEC
S303-004-HC,4.2,8-May-22,1127,1152,21:27,,18,43.3,N,157,39.4,W,25.8,2.87,34.54,881.2,670,601,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,,10.3,,11.96,,Eddy Convergence,Eddy Convergence,Eddy convergence,3,400,394.455,8.1927,34.2744,26.6751,50.717,2.43E-01,18°43.3' N,157°39.4' W,18.722,-157.657
S303-005-HC,5.1,8-May-22,2256,2331,8:56,,18,21.8,N,158,17.3,W,25.8,3.14,34.51,728.9,,538,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,11.1,,11.9,11.37,3934,Swordfish Seamount,Swordfish Seamount,Swordfish Seamount,8,200,197.217,17.4762,34.6238,25.1116,163.537,3.69E-01,18°21.8' N,158°17.3' W,18.363,-158.288
S303-005-HC,5.2,8-May-22,2256,2331,8:56,,18,21.8,N,158,17.3,W,25.8,3.14,34.51,728.9,,538,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,11.1,,11.9,11.37,3934,Swordfish Seamount,Swordfish Seamount,Swordfish Seamount,7,200,198.499,17.4589,34.61,25.1051,163.881,3.69E-01,18°21.8' N,158°17.3' W,18.363,-158.288
S303-005-HC,5.3,8-May-22,2256,2331,8:56,,18,21.8,N,158,17.3,W,25.8,3.14,34.51,728.9,,538,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,11.1,,11.9,11.37,3934,Swordfish Seamount,Swordfish Seamount,Swordfish Seamount,4,400,391.584,8.4126,34.2552,26.6266,63.865,2.34E-01,18°21.8' N,158°17.3' W,18.363,-158.288
S303-005-HC,5.4,8-May-22,2256,2331,8:56,,18,21.8,N,158,17.3,W,25.8,3.14,34.51,728.9,,538,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,11.1,,11.9,11.37,3934,Swordfish Seamount,Swordfish Seamount,Swordfish Seamount,3,400,393.6,8.3929,34.2549,26.6294,63.65,2.35E-01,18°21.8' N,158°17.3' W,18.363,-158.288
S303-006-HC,6.2,9-May-22,1015,1052,20:15,,18,3.5,N,159,6,W,25.6,2.93,34.52,655.2,,472,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,11.1,10.8,11.85,,4192,Anticyclonic Eddy,Anticyclonic Eddy,Anticyclonic Eddy,6,200,199.402,21.4049,34.9827,24.3699,189.245,3.45E-01,18°3.5' N,159°6' W,18.058,-159.1
S303-006-HC,6.3,9-May-22,1015,1052,20:15,,18,3.5,N,159,6,W,25.6,2.93,34.52,655.2,,472,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,11.1,10.8,11.85,,4192,Anticyclonic Eddy,Anticyclonic Eddy,Anticyclonic Eddy,5,200,199.068,21.3845,35.0073,24.3943,188.633,3.53E-01,18°3.5' N,159°6' W,18.058,-159.1
S303-006-HC,6.4,9-May-22,1015,1052,20:15,,18,3.5,N,159,6,W,25.6,2.93,34.52,655.2,,472,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,11.1,10.8,11.85,,4192,Anticyclonic Eddy,Anticyclonic Eddy,Anticyclonic Eddy,3,400,393.45,8.0986,34.1637,26.6024,85.935,2.39E-01,18°3.5' N,159°6' W,18.058,-159.1
S303-006-HC,6.5,9-May-22,1015,1052,20:15,,18,3.5,N,159,6,W,25.6,2.93,34.52,655.2,,472,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,11.1,10.8,11.85,,4192,Anticyclonic Eddy,Anticyclonic Eddy,Anticyclonic Eddy,2,400,395.677,8.0824,34.1652,26.6059,85.833,2.40E-01,18°3.5' N,159°6' W,18.058,-159.1
S303-007-HC,7.2,9-May-22,2235,2311,8:35,545.7,17,38.5,N,159,58.4,W,26.1,3,34.42,534.6,691,569,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,11,,11.9,,4632,Cyclonic Edge,Cyclonic Edge,Cyclonic Edge,6,200,196.582,17.8184,34.6728,25.066,170.735,3.78E-01,17°38.5' N,159°58.4' W,17.642,-159.973
S303-007-HC,7.3,9-May-22,2235,2311,8:35,545.7,17,38.5,N,159,58.4,W,26.1,3,34.42,534.6,691,569,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,11,,11.9,,4632,Cyclonic Edge,Cyclonic Edge,Cyclonic Edge,5,200,196.289,17.7883,34.7024,25.096,169.661,3.67E-01,17°38.5' N,159°58.4' W,17.642,-159.973
S303-007-HC,7.4,9-May-22,2235,2311,8:35,545.7,17,38.5,N,159,58.4,W,26.1,3,34.42,534.6,691,569,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,11,,11.9,,4632,Cyclonic Edge,Cyclonic Edge,Cyclonic Edge,2,400,393.953,8.0165,34.2143,26.6543,65.63,2.41E-01,17°38.5' N,159°58.4' W,17.642,-159.973
S303-007-HC,7.5,9-May-22,2235,2311,8:35,545.7,17,38.5,N,159,58.4,W,26.1,3,34.42,534.6,691,569,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,11,,11.9,,4632,Cyclonic Edge,Cyclonic Edge,Cyclonic Edge,1,400,396.616,7.9701,34.2365,26.6786,65.134,2.41E-01,17°38.5' N,159°58.4' W,17.642,-159.973
S303-008-HC,8.1,10-May-22,1105,1149,21:05,602.7,17,0.2,N,160,33.2,W,26,2.71,34.94,584.9,750,613,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,10.9,10.5,11.91,,4780,Cyclonic Eddy,Cyclonic Eddy,Cyclonic Eddy,2,400,395.179,6.9412,34.2052,26.8007,55.117,2.47E-01,17°0.2' N,160°33.2' W,17.003,-160.553
S303-008-HC,8.2,10-May-22,1105,1149,21:05,602.7,17,0.2,N,160,33.2,W,26,2.71,34.94,584.9,750,613,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,10.9,10.5,11.91,,4780,Cyclonic Eddy,Cyclonic Eddy,Cyclonic Eddy,1,400,396.492,6.928,34.205,26.8024,54.921,2.49E-01,17°0.2' N,160°33.2' W,17.003,-160.553
S303-012-HC,12.2,12-May-22,1107,1213,21:07,791.9,14,10.3,N,160,43.3,W,26.4,2.69,34.49,716.5,875,723,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,12.9,12.5,11.6,11.32,4830,Open Ocean,Open Ocean,Subtropical Gyre,2,400,397.024,8.628,34.5359,26.8135,16.478,2.55E-01,14°10.3' N,160°43.3' W,14.172,-160.722
S303-012-HC,12.3,12-May-22,1107,1213,21:07,791.9,14,10.3,N,160,43.3,W,26.4,2.69,34.49,716.5,875,723,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,12.9,12.5,11.6,11.32,4830,Open Ocean,Open Ocean,Subtropical Gyre,1,400,396.632,8.6037,34.5439,26.8235,15.986,2.55E-01,14°10.3' N,160°43.3' W,14.172,-160.722
S303-013-HC,13.1,12-May-22,2229,2315,8:29,839.8,13,29.3,N,160,50.5,W,26.6,2.8,34.46,656.9,658,588,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,12.7,,,,4837,Open Ocean,Open Ocean,Open Ocean,6,210,207.668,11.6251,34.3813,26.1791,71.37,3.17E-01,13°29.3' N,160°50.5' W,13.488,-160.842
S303-013-HC,13.2,12-May-22,2229,2315,8:29,839.8,13,29.3,N,160,50.5,W,26.6,2.8,34.46,656.9,658,588,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,12.7,,,,4837,Open Ocean,Open Ocean,Open Ocean,5,210,209.183,11.5805,34.3649,26.1747,68.369,3.05E-01,13°29.3' N,160°50.5' W,13.488,-160.842
S303-016-HC,16.2,14-May-22,1017,1056,20:17,1021,10,39.576,N,161,0.544,W,27.1,3,34.36,551.3,625,577,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,12.4,12.3,11.49,11.42,4137,OMZ Compression,Open Ocean,OMZ Compression,2,400,396.139,9.1943,34.6207,26.7898,9.93,2.57E-01,10°39.576' N,161°0.544' W,10.66,-161.009
S303-016-HC,16.3,14-May-22,1017,1056,20:17,1021,10,39.576,N,161,0.544,W,27.1,3,34.36,551.3,625,577,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,12.4,12.3,11.49,11.42,4137,OMZ Compression,Open Ocean,OMZ Compression,1,400,395.283,9.169,34.6299,26.8011,9.8,2.57E-01,10°39.576' N,161°0.544' W,10.66,-161.009
S303-017-HC,17.1,14-May-22,2242,2333,8:42,1062,10,6.049,N,161,7.21,W,27.7,6.09,34.59,479.8,680,596,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,12.3,,11.44,,4496,Divergence,Open Ocean,Divergence,7,140,137.309,12.6649,34.5818,26.1354,14.324,4.21E-01,10°6.049' N,161°7.21' W,10.101,-161.12
S303-017-HC,17.2,14-May-22,2242,2333,8:42,1062,10,6.049,N,161,7.21,W,27.7,6.09,34.59,479.8,680,596,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,12.3,,11.44,,4496,Divergence,Open Ocean,Divergence,6,140,138.322,12.6446,34.5815,26.1392,14.248,4.13E-01,10°6.049' N,161°7.21' W,10.101,-161.12
S303-017-HC,17.3,14-May-22,2242,2333,8:42,1062,10,6.049,N,161,7.21,W,27.7,6.09,34.59,479.8,680,596,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,12.3,,11.44,,4496,Divergence,Open Ocean,Divergence,2,350,346.829,9.3084,34.6325,26.7804,8.871,2.57E-01,10°6.049' N,161°7.21' W,10.101,-161.12
S303-017-HC,17.4,14-May-22,2242,2333,8:42,1062,10,6.049,N,161,7.21,W,27.7,6.09,34.59,479.8,680,596,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,12.3,,11.44,,4496,Divergence,Open Ocean,Divergence,1,350,347.54,9.3017,34.633,26.7819,8.939,2.57E-01,10°6.049' N,161°7.21' W,10.101,-161.12
S303-018-HC,18.2,15-May-22,1025,1102,20:25,1111,9,20.647,N,161,10.443,W,27.9,5.98,34.47,501,622,596,Free,Free,Chla SCF 3757,O2 SBE43 1122,PAR 4721,Free,7706,12.2,12.1,11.43,,4357,Divergence Front,Open Ocean,Divergence Front,2,350,348.079,9.4013,34.6485,26.7778,14.76,2.55E-01,9°20.647' N,161°10.443' W,9.344,-161.174
S303-018-HC,18.3,15-May-22,1025,1102,20:25,1111,9,20.647,N,161,10.443,W,27.9,5.98,34.47,501,622,596,Free,Free,Chla SCF 3757,O2 SBE43 1122,PAR 4721,Free,7706,12.2,12.1,11.43,,4357,Divergence Front,Open Ocean,Divergence Front,1,350,347.52,9.3905,34.6525,26.7826,14.733,2.53E-01,9°20.647' N,161°10.443' W,9.344,-161.174
S303-019-HC,19.1,15-May-22,2238,2316,8:38,1162,8,34,N,161,22.74,W,28,11.78,34.39,421.6,680,589,Free,Free,Chla SCF 3767,O2 SBE43 1132,PAR 4731,Free,7706,12.2,11.9,11.41,11.13,4217,Open Ocean,Open Ocean,Open Ocean,8,150,146.575,11.8086,34.5964,26.3119,33.645,2.66E-01,8°34' N,161°22.74' W,8.567,-161.379
S303-019-HC,19.2,15-May-22,2238,2316,8:38,1162,8,34,N,161,22.74,W,28,11.78,34.39,421.6,680,589,Free,Free,Chla SCF 3767,O2 SBE43 1132,PAR 4731,Free,7706,12.2,11.9,11.41,11.13,4217,Open Ocean,Open Ocean,Open Ocean,7,150,147.165,11.7998,34.599,26.3156,33.503,2.59E-01,8°34' N,161°22.74' W,8.567,-161.379
S303-028-HC,28.1,26-May-22,1630,1652,2:30,1565,6,21.651,N,162,27.825,W,28.6,13.23,34.77,426,456,448,CDOM/1258,Xmiss/1187,Chla SCF 3767,O2 SBE43 1132,PAR 4731,Free,7706,11.7,11.6,11.24,11.11,1015,Reef,Reef,Kingman Reef,3,400,393.044,8.7546,34.6224,26.8614,30.277,2.49E-01,6°21.651' N,162°27.825' W,6.361,-162.464
S303-028-HC,28.11,26-May-22,1630,1652,2:30,1565,6,21.651,N,162,27.825,W,28.6,13.23,34.77,426,456,448,CDOM/1258,Xmiss/1187,Chla SCF 3767,O2 SBE43 1132,PAR 4731,Free,7706,11.7,11.6,11.24,11.11,1015,Reef,Reef,Kingman Reef,2,400,395.181,8.7537,34.6222,26.8614,30.19,2.49E-01,6°21.651' N,162°27.825' W,6.361,-162.464
S303-028-HC,28.2,26-May-22,1630,1652,2:30,1565,6,21.651,N,162,27.825,W,28.6,13.23,34.77,426,456,448,CDOM/1258,Xmiss/1187,Chla SCF 3767,O2 SBE43 1132,PAR 4731,Free,7706,11.7,11.6,11.24,11.11,1015,Reef,Reef,Kingman Reef,1,400,396.614,8.7534,34.6222,26.8615,30.347,2.48E-01,6°21.651' N,162°27.825' W,6.361,-162.464
S303-045-HC,45.11,3-Jun-22,2131,2209,7:31,2587,18,22.084,N,158,22.492,W,26.6,2.71,34.63,400,601,588,CDOM/1258,Xmiss/1187,Chla SCF 3767,O2 SBE43 1132,PAR 4731,Free,7706,12.7,12.5,12.79,12.67,1661,SwordfishSeamount2,Swordfish Seamount,Swordfish Seamount,3,400,393.42,7.673,34.2432,26.7275,46.863,2.42E-01,18°22.084' N,158°22.492' W,18.368,-158.375
S303-045-HC,45.12,3-Jun-22,2131,2209,7:31,2587,18,22.084,N,158,22.492,W,26.6,2.71,34.63,400,601,588,CDOM/1258,Xmiss/1187,Chla SCF 3767,O2 SBE43 1132,PAR 4731,Free,7706,12.7,12.5,12.79,12.67,1661,SwordfishSeamount2,Swordfish Seamount,Swordfish Seamount,1,400,396.599,7.6727,34.2625,26.7426,43.582,2.44E-01,18°22.084' N,158°22.492' W,18.368,-158.375
