DEPTH,SAMPLE #,Barcode label,SAMPLE #,STATION NUMBER,REPLICATE NUMBER,DATE,DNA extracted?,PCR No.,Barcode No,,Library No,Sequenced?,Niskin Bottle,Notes,Station,Date,Start Time,End Time,Log,LatDeg,LatMin,LatNS,LonDeg ,LogMin,LonEW,Temp (oC),Fluoro (chl-a),Sal (psu),Bottom Depth (m),General Locale,Bottle,"Total Number of Reads, cut for graphing",Total Number of Reads,Date,Start Time,End Time,UTC Time,Log,LatDeg,LatMin,LatNS,LonDeg ,LogMin,LonEW,Temp (oC),Fluoro (chl-a),Sal (psu),Bottom Depth (m),General Locale,Z Target (m),Z Corr (m),Temp (deg C),Salinity (psu),Density (kg/m3),O2 Seapoint (mL/L),O2 Winkle (mL/L),PO4  (uM),SiO2 (uM),Nitrate (uM),Chl a (ug/l),pH,Chla-Fluoro (V),Alkalinity,tDIC,pCO2,CO2 flux,CO2 solubility (mol/kg/atm),Notes,LatDisplay,LonDisplay,LatDEC,LonDEC,SWDivClassUncut,SWDivOrderUncut,Z Corr (m),Average Diversity per Station (Order),MeterNetZooplanktonVol,Meter Net Diversity,MeterNetZplDensity,Echo Amplitude,,,,,,,,,,,,,,,,,,,,,,,,,-1
400,3.2,Barcode2.9,HC3.2,3,2,5/7/22,5/10/22,3,9,,Lib2,Y,4,NO filtration blank,S303-003-HC,7-May-22,2257,2333,319.4,19,3.7,N,156,52.6,W,25.5,3.5,34.68,3555,Cyclonic Eddy,4,6,23,7-May-22,2257,2333,08:57,319.4,19,3.7,N,156,52.6,W,25.5,3.5,34.68,3555,Cyclonic Eddy,400,392.592,7.4586,34.1793,26.7081,67.966,,,,,,,2.49E-01,,,,,,,19°3.7' N,156°52.6' W,19.062,-156.877,0.666487079,1.011552894,392.592,,66.0,0.280502813,0.023957167,38,,,,,,,,,,,,,,,,,,,,,,,,,
200,3.3,Barcode2.10,HC3.3,3,1,5/7/22,5/10/22,3,10,,Lib2,Y,7,NO filtration blank,S303-003-HC,7-May-22,2257,2333,319.4,19,3.7,N,156,52.6,W,25.5,3.5,34.68,3555,Cyclonic Eddy,7,2,15,7-May-22,2257,2333,08:57,319.4,19,3.7,N,156,52.6,W,25.5,3.5,34.68,3555,Cyclonic Eddy,200,194.385,14.1347,34.459,25.7407,164.879,,0.81,,10.30,,,2.23E-01,,,,,,,19°3.7' N,156°52.6' W,19.062,-156.877,0.702277261,0.742414594,194.385,,66.0,0.280502813,0.023957167,62,,,,,,,,,,,,,,,,,,,,,,,,,
200,3.4,Barcode2.11,HC3.4,3,2,5/7/22,5/10/22,3,11,,Lib2,Y,8,NO filtration blank,S303-003-HC,7-May-22,2257,2333,319.4,19,3.7,N,156,52.6,W,25.5,3.5,34.68,3555,Cyclonic Eddy,8,2,3,7-May-22,2257,2333,08:57,319.4,19,3.7,N,156,52.6,W,25.5,3.5,34.68,3555,Cyclonic Eddy,200,194.538,14.3032,34.3319,25.6069,165.305,,0.81,,10.30,,,2.25E-01,,,,,,,19°3.7' N,156°52.6' W,19.062,-156.877,0.477121255,0.477121255,194.538,,66.0,0.280502813,0.023957167,62,,,,,,,,,,,,,,,,,,,,,,,,,
400,4.1,Barcode2.12,HC4.1,4,1,5/8/22,5/10/22,3,12,,Lib2,Y,3,NO filtration blank,S303-004-HC,8-May-22,1127,1152,,18,43.3,N,157,39.4,W,25.8,2.87,34.54,,Eddy convergence,3,16,18,8-May-22,1127,1152,21:27,,18,43.3,N,157,39.4,W,25.8,2.87,34.54,,Eddy convergence,400,394.455,8.1927,34.2744,26.6751,50.717,,,,,,,2.43E-01,,,,,,,18°43.3' N,157°39.4' W,18.722,-157.657,0.241748679,0.734834866,394.455,,45.5,0.400473509,0.012684769,30,,,,,,,,,,,,,,,,,,,,,,,,,
400,4.2,Barcode3.1,HC4.2,4,2,5/8/22,5/10/22,3,1,,Lib3,Y,4,NO filtration blank,S303-004-HC,8-May-22,1127,1152,,18,43.3,N,157,39.4,W,25.8,2.87,34.54,,Eddy convergence,4,17,28,8-May-22,1127,1152,21:27,,18,43.3,N,157,39.4,W,25.8,2.87,34.54,,Eddy convergence,400,390.447,8.2083,34.279,26.6764,51.099,,,,,,,2.42E-01,,,,,,,18°43.3' N,157°39.4' W,18.722,-157.657,0.54958476,1.069586692,390.447,,45.5,0.400473509,0.012684769,30,,,,,,,,,,,,,,,,,,,,,,,,,
400,5.1,Barcode3.2,HC5.1,5,1,5/8/22,5/10/22,3,2,,Lib3,Y,3,,S303-005-HC,8-May-22,2256,2331,,18,21.8,N,158,17.3,W,25.8,3.14,34.51,3934,Swordfish Seamount,3,122,147,8-May-22,2256,2331,08:56,,18,21.8,N,158,17.3,W,25.8,3.14,34.51,3934,Swordfish Seamount,400,393.6,8.3929,34.2549,26.6294,63.65,,,,,,,2.35E-01,,,,,,,18°21.8' N,158°17.3' W,18.363,-158.288,0.380525617,0.620482447,393.6,,46.0,0.392764145,0.013375928,38,,,,,,,,,,,,,,,,,,,,,,,,,
400,5.2,Barcode3.3,HC5.2,5,2,5/8/22,5/10/22,3,3,,Lib3,Y,4,,S303-005-HC,8-May-22,2256,2331,,18,21.8,N,158,17.3,W,25.8,3.14,34.51,3934,Swordfish Seamount,4,46,55,8-May-22,2256,2331,08:56,,18,21.8,N,158,17.3,W,25.8,3.14,34.51,3934,Swordfish Seamount,400,391.584,8.4126,34.2552,26.6266,63.865,,,,,,,2.34E-01,,,,,,,18°21.8' N,158°17.3' W,18.363,-158.288,0.612864663,1.081502189,391.584,,46.0,0.392764145,0.013375928,38,,,,,,,,,,,,,,,,,,,,,,,,,
200,5.3,Barcode3.4,HC5.3,5,1,5/8/22,5/10/22,4,4,,Lib3,Y,7,,S303-005-HC,8-May-22,2256,2331,,18,21.8,N,158,17.3,W,25.8,3.14,34.51,3934,Swordfish Seamount,7,51,78,8-May-22,2256,2331,08:56,,18,21.8,N,158,17.3,W,25.8,3.14,34.51,3934,Swordfish Seamount,200,198.499,17.4589,34.61,25.1051,163.881,,0.58,,5.70,0.06,7.752,3.69E-01,,,,,,,18°21.8' N,158°17.3' W,18.363,-158.288,0.689356551,1.09039088,198.499,,46.0,0.392764145,0.013375928,73,,,,,,,,,,,,,,,,,,,,,,,,,
200,5.4,Barcode3.5,HC5.4,5,2,5/8/22,5/10/22,4,5,,Lib3,Y,8,,S303-005-HC,8-May-22,2256,2331,,18,21.8,N,158,17.3,W,25.8,3.14,34.51,3934,Swordfish Seamount,8,71,137,8-May-22,2256,2331,08:56,,18,21.8,N,158,17.3,W,25.8,3.14,34.51,3934,Swordfish Seamount,200,197.217,17.4762,34.6238,25.1116,163.537,,0.58,,5.70,0.06,7.752,3.69E-01,,,,,,,18°21.8' N,158°17.3' W,18.363,-158.288,0.732293496,1.419506078,197.217,,46.0,0.392764145,0.013375928,73,,,,,,,,,,,,,,,,,,,,,,,,,
400,6.2,Barcode3.10,HC6.2,6,1,5/9/22,5/11/22,4,10,,Lib3,Y,2,,S303-006-HC,9-May-22,1015,1052,,18,3.5,N,159,6,W,25.6,2.93,34.52,4192,Anticyclonic Eddy,2,15,16,9-May-22,1015,1052,20:15,,18,3.5,N,159,6,W,25.6,2.93,34.52,4192,Anticyclonic Eddy,400,395.677,8.0824,34.1652,26.6059,85.833,,,,,,,2.40E-01,,,,,,,18°3.5' N,159°6' W,18.058,-159.100,0.101534427,0.656256388,395.677,,50.0,0.422221407,0.011927527,34,,,,,,,,,,,,,,,,,,,,,,,,,
400,6.3,Barcode3.7,HC6.3,6,2,5/9/22,5/11/22,4,7,,Lib3,Y,3,,S303-006-HC,9-May-22,1015,1052,,18,3.5,N,159,6,W,25.6,2.93,34.52,4192,Anticyclonic Eddy,3,20,40,9-May-22,1015,1052,20:15,,18,3.5,N,159,6,W,25.6,2.93,34.52,4192,Anticyclonic Eddy,400,393.45,8.0986,34.1637,26.6024,85.935,,,,,,,2.39E-01,,,,,,,18°3.5' N,159°6' W,18.058,-159.100,0.706987654,1.085258961,393.45,,50.0,0.422221407,0.011927527,34,,,,,,,,,,,,,,,,,,,,,,,,,
200,6.4,Barcode3.8,HC6.4,6,1,5/9/22,5/11/22,4,8,,Lib3,Y,5,,S303-006-HC,9-May-22,1015,1052,,18,3.5,N,159,6,W,25.6,2.93,34.52,4192,Anticyclonic Eddy,5,16,40,9-May-22,1015,1052,20:15,,18,3.5,N,159,6,W,25.6,2.93,34.52,4192,Anticyclonic Eddy,200,199.068,21.3845,35.0073,24.3943,188.633,,,,,,,3.53E-01,,,,,,,18°3.5' N,159°6' W,18.058,-159.100,0.628356994,0.900972303,199.068,,50.0,0.422221407,0.011927527,70,,,,,,,,,,,,,,,,,,,,,,,,,
200,6.5,Barcode3.9,HC6.5,6,2,5/9/22,5/11/22,4,9,,Lib3,Y,6,,S303-006-HC,9-May-22,1015,1052,,18,3.5,N,159,6,W,25.6,2.93,34.52,4192,Anticyclonic Eddy,6,19,42,9-May-22,1015,1052,20:15,,18,3.5,N,159,6,W,25.6,2.93,34.52,4192,Anticyclonic Eddy,200,199.402,21.4049,34.9827,24.3699,189.245,,,,,,,3.45E-01,,,,,,,18°3.5' N,159°6' W,18.058,-159.100,0.49688625,0.73690669,199.402,,50.0,0.422221407,0.011927527,70,,,,,,,,,,,,,,,,,,,,,,,,,
400,7.2,Barcode4.6,HC7.2,7,1,5/9/22,5/11/22,5,6,,Lib4,Y,1,,S303-007-HC,7-May-22,2235,2311,545.7,17,38.5,N,159,58.4,W,26.1,3,34.42,4632,Edge of Cyclonic Eddy,1,8,61,9-May-22,2235,2311,08:35,545.7,17,38.5,N,159,58.4,W,26.1,3,34.42,4632,Edge of Cyclonic Eddy,400,396.616,7.9701,34.2365,26.6786,65.134,,0.62,,4.50,,7.873,2.41E-01,,,,,,,17°38.5' N,159°58.4' W,17.642,-159.973,0.617738674,0.89135532,396.616,,35.0,0.366609979,0.01253114,37,,,,,,,,,,,,,,,,,,,,,,,,,
400,7.3,Barcode4.7,HC7.3,7,2,5/9/22,5/11/22,5,7,,Lib4,Y,2,,S303-007-HC,8-May-22,2235,2311,545.7,17,38.5,N,159,58.4,W,26.1,3,34.42,4632,Edge of Cyclonic Eddy,2,362,848,9-May-22,2235,2311,08:35,545.7,17,38.5,N,159,58.4,W,26.1,3,34.42,4632,Edge of Cyclonic Eddy,400,393.953,8.0165,34.2143,26.6543,65.63,,0.62,,4.50,,7.873,2.41E-01,,,,,,,17°38.5' N,159°58.4' W,17.642,-159.973,0.728172451,1.465391378,393.953,,35.0,0.366609979,0.01253114,37,,,,,,,,,,,,,,,,,,,,,,,,,
200,7.4,Barcode4.8,HC7.4,7,1,5/9/22,5/11/22,5,8,,Lib4,Y,5,,S303-007-HC,9-May-22,2235,2311,545.7,17,38.5,N,159,58.4,W,26.1,3,34.42,4632,Edge of Cyclonic Eddy,5,54,120,9-May-22,2235,2311,08:35,545.7,17,38.5,N,159,58.4,W,26.1,3,34.42,4632,Edge of Cyclonic Eddy,200,196.289,17.7883,34.7024,25.096,169.661,,,,,,,3.67E-01,,,,,,,17°38.5' N,159°58.4' W,17.642,-159.973,0.671116217,1.089249168,196.289,,35.0,0.366609979,0.01253114,76,,,,,,,,,,,,,,,,,,,,,,,,,
200,7.5,Barcode4.9,HC7.5,7,2,5/9/22,5/11/22,5,9,,Lib4,Y,6,,S303-007-HC,9-May-22,2235,2311,545.7,17,38.5,N,159,58.4,W,26.1,3,34.42,4632,Edge of Cyclonic Eddy,6,169,370,9-May-22,2235,2311,08:35,545.7,17,38.5,N,159,58.4,W,26.1,3,34.42,4632,Edge of Cyclonic Eddy,200,196.582,17.8184,34.6728,25.066,170.735,,,,,,,3.78E-01,,,,,,,17°38.5' N,159°58.4' W,17.642,-159.973,0.714150252,1.373739763,196.582,,35.0,0.366609979,0.01253114,76,,,,,,,,,,,,,,,,,,,,,,,,,
400,8.1,Barcode4.10,HC8.1,8,1,5/10/22,5/11/22,5,10,,Lib4,Y,1,,S303-008-HC,10-May-22,1105,1149,602.7,17,0.2,N,160,33.2,W,26,2.71,34.94,4780,Cyclonic Eddy,1,166,302,10-May-22,1105,1149,21:05,602.7,17,0.2,N,160,33.2,W,26,2.71,34.94,4780,Cyclonic Eddy,400,396.492,6.928,34.205,26.8024,54.921,,,,,,,2.49E-01,,,,,,"Tag 604 position 3, tag 590 position 12",17°0.2' N,160°33.2' W,17.003,-160.553,0.6891346,1.286073818,396.492,,31.0,0.489933491,0.008372731,35,,,,,,,,,,,,,,,,,,,,,,,,,
400,8.2,Barcode4.11,HC8.2,8,2,5/10/22,5/11/22,5,11,,Lib4,Y,2,,S303-008-HC,10-May-22,1105,1149,602.7,17,0.2,N,160,33.2,W,26,2.71,34.94,4780,Cyclonic Eddy,2,54,168,10-May-22,1105,1149,21:05,602.7,17,0.2,N,160,33.2,W,26,2.71,34.94,4780,Cyclonic Eddy,400,395.179,6.9412,34.2052,26.8007,55.117,,,,,,,2.47E-01,,,,,,"Tag 604 position 3, tag 590 position 11",17°0.2' N,160°33.2' W,17.003,-160.553,0.720703238,1.279835154,395.179,,31.0,0.489933491,0.008372731,35,,,,,,,,,,,,,,,,,,,,,,,,,
400,12.2,Barcode5.2,HC12.2,12,1,,5/19/2022,7,2,,Lib5,Y,1,,S303-012-HC,12-May-22,1107,1213,791.9,14,10.3,N,160,43.3,W,26.4,2.69,34.49,4830,Subtropical Gyre,1,51,97,12-May-22,1107,1213,21:07,791.9,14,10.3,N,160,43.3,W,26.4,2.69,34.49,4830,Subtropical Gyre,400,396.632,8.6037,34.5439,26.8235,15.986,,,,,,,2.55E-01,,,,,,"Tag 560 position 3, tag 604 position 2",14°10.3' N,160°43.3' W,14.172,-160.722,0.770479665,1.110031115,396.632,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,
400,12.3,Barcode5.3,HC12.3,12,2,,5/19/2022,7,3,,Lib5,Y,2,,S303-012-HC,12-May-22,1107,1213,791.9,14,10.3,N,160,43.3,W,26.4,2.69,34.49,4830,Subtropical Gyre,2,73,148,12-May-22,1107,1213,21:07,791.9,14,10.3,N,160,43.3,W,26.4,2.69,34.49,4830,Subtropical Gyre,400,397.024,8.628,34.5359,26.8135,16.478,,,,,,,2.55E-01,,,,,,"Tag 560 position 3, tag 604 position 1",14°10.3' N,160°43.3' W,14.172,-160.722,0.76158355,1.253657035,397.024,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,
210,13.1,Barcode5.4,HC13.1,13,1,,5/19/2022,7,4,,Lib5,Y,5,,S303-013-HC,12-May-22,2229,2315,839.8,13,29.3,N,160,50.5,W,26.6,2.8,34.46,4837,,5,23,50,12-May-22,2229,2315,08:29,839.8,13,29.3,N,160,50.5,W,26.6,2.8,34.46,4837,,210,209.183,11.5805,34.3649,26.1747,68.369,,,,,,,3.05E-01,,,,,,,13°29.3' N,160°50.5' W,13.488,-160.842,0.626744471,0.992385347,209.183,,32.0,0.478673115,0.016276868,52,,,,,,,,,,,,,,,,,,,,,,,,,
210,13.2,Barcode5.5,HC13.2,13,2,,5/19/2022,7,5,,Lib5,Y,6,,S303-013-HC,12-May-22,2229,2315,839.8,13,29.3,N,160,50.5,W,26.6,2.8,34.46,4837,,6,56,114,12-May-22,2229,2315,08:29,839.8,13,29.3,N,160,50.5,W,26.6,2.8,34.46,4837,,210,207.668,11.6251,34.3813,26.1791,71.37,,,,,,,3.17E-01,,,,,,,13°29.3' N,160°50.5' W,13.488,-160.842,0.687977329,1.315645524,207.668,,32.0,0.478673115,0.016276868,52,,,,,,,,,,,,,,,,,,,,,,,,,
400,16.2,Barcode5.6,HC16.2,16,1,,5/19/2022,7,6,,Lib5,Y,1,,S303-016-HC,14-May-22,1017,1056,1021.0,10,39.576,N,161,0.544,W,27.1,3,34.36,4137,OMZ Compression,1,37,130,14-May-22,1017,1056,20:17,1021.0,10,39.576,N,161,0.544,W,27.1,3,34.36,4137,OMZ Compression,400,395.283,9.169,34.6299,26.8011,9.8,,,,,,,2.57E-01,,,,,,,10°39.576' N,161°0.544' W,10.660,-161.009,0.703158804,1.656605009,395.283,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,
400,16.3,Barcode5.9,HC16.3,16,2,,5/19/2022,8,9,,Lib5,Y,2,,S303-016-HC,14-May-22,1017,1056,1021.0,10,39.576,N,161,0.544,W,27.1,3,34.36,4137,OMZ Compression,2,14,36,14-May-22,1017,1056,20:17,1021.0,10,39.576,N,161,0.544,W,27.1,3,34.36,4137,OMZ Compression,400,396.139,9.1943,34.6207,26.7898,9.93,,,,,,,2.57E-01,,,,,,,10°39.576' N,161°0.544' W,10.660,-161.009,0.590799273,0.051613259,396.139,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,
350,17.1,Barcode5.10,HC17.1,17,1,,5/19/2022,8,10,,Lib5,Y,1,,S303-017-HC,14-May-22,2242,2333,1062.0,10,6.049,N,161,7.21,W,27.7,6.09,34.59,4496,Divergence,1,20,67,14-May-22,2242,2333,08:42,1062.0,10,6.049,N,161,7.21,W,27.7,6.09,34.59,4496,Divergence,350,347.54,9.3017,34.633,26.7819,8.939,,,,,,,2.57E-01,,,,,,,10°6.049' N,161°7.21' W,10.101,-161.120,0.744623692,0.372536662,347.54,,116.0,0.230094394,0.067008296,40,,,,,,,,,,,,,,,,,,,,,,,,,
350,17.2,Barcode5.11,HC17.2,17,2,,5/19/2022,8,11,,Lib5,Y,2,,S303-017-HC,14-May-22,2242,2333,1062.0,10,6.049,N,161,7.21,W,27.7,6.09,34.59,4496,Divergence,2,23,37,14-May-22,2242,2333,08:42,1062.0,10,6.049,N,161,7.21,W,27.7,6.09,34.59,4496,Divergence,350,346.829,9.3084,34.6325,26.7804,8.871,,,,,,,2.57E-01,,,,,,,10°6.049' N,161°7.21' W,10.101,-161.120,0.596086833,0.222923989,346.829,,116.0,0.230094394,0.067008296,40,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
